Response	Submitted_on	Course	Q01_My_Professor	Q02_Gender	Q03_Hand	Q04_Hand_Span	Q05_Left_Hand_Span	Q06_Height	Q07_Age	Q08_Birthday	Q09_Sleeping	Q10_On_campus	Q11_Watching_TV	Q12_Games	Q13_Facebook	Q14_Tattoos	Q15_Twitter	Q16_Political_Orientation	Q17_STAT	Q18_Data	Q19_Famous	Q20_Career	Q21_Death_Penalty	Q22_gays_and_lesbians	Q23_Gays_and_Lesbians_Military	Q24_Greatest_influence	Q25_Greatest_influence_2	Q26_Greatest_influence_3	Q27_Stat_course	Q28_Enrolled_Course
16755	09:01 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	50	50	68	21	9	8.5	0	1	0	80	0	0	Liberal	1	information	Not important	Somewhat important	oppose	strongly favor	no opinion	Education	Friends and family	I don't know	Regular Lecures	STAT 10
16757	09:27 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	20.3	20.2	71.7	19	8	5	0	0	1	99	0	0	Conservative	0	A set of numbers	Important	Very important	no opinion	favor	strongly favor	No opinion	Something else	Education	Regular Lecures	STAT 10
16758	09:51 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	6	6	65	20	6	5	0	0	0	99	0	0	Conservative	1	IDK	Somewhat important	Very important	no opinion	no opinion	no opinion	Education	No opinion	Personal Experience	Regular Lecures	STAT 10
16760	09:55 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	21	21	69	19	4	10	1	1	3	20	0	0	Moderate	1	Collection of information	Not important	Somewhat important	oppose	strongly favor	strongly favor	Something else	Friends and family	Friends and family	Regular Lecures	STAT 10
16767	10:17 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	15	15	65	21	three	5	0	4	0	99	0	0	Liberal	1	information	Not important	Important	no opinion	strongly favor	strongly favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16768	10:19 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19	19	64	18	10	7	1	0	0	99	0	0	Moderate	1	information	Not important	Important	favor	strongly favor	strongly favor	Media	Media	Media	Regular Lecures	STAT 10
16769	10:21 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	12.5	12.5	75	22	9	5	0	3	0	99	0	0	Liberal	0	information	Not important	Very important	strongly oppose	strongly oppose	favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16770	10:53 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	2.15	2.05	62	19	6	6	1	0	2	&gt;9	1	0	Liberal	1	experiment  information	Important	One of the most important things, but not the most important.	oppose	favor	no opinion	Education	Media	No opinion	Regular Lecures	STAT 10
16771	11:00 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	16.5	16	65	19	7	7	1	0	0	50	0	0	Conservative	0	information	Not important	Important	favor	oppose	no opinion	Something else	Religious Beliefs	Something else	Regular Lecures	STAT 10
16774	11:05 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	9.5	9.5	70.9	20	4	7	1	1	0	32	0	0	Liberal	0	information	Very important	Important	strongly favor	no opinion	no opinion	Media	No opinion	No opinion	Regular Lecures	STAT 10
16775	11:05 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18	18.5	62	19	4	8	1	0	0	90	0	0	Moderate	1	collected information	Not important	Important	oppose	favor	favor	Friends and family	Media	I don't know	Regular Lecures	STAT 10
16777	11:11 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	15	60	21	3	8	1	2	2	50	0	0	Liberal	1	qualitative, quantitative	Not important	Very important	oppose	no opinion	strongly favor	Media	Religious Beliefs	Media	Regular Lecures	STAT 10
16779	11:17 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	15	15	66	22	0	7	0	4	0	70	0	2	Moderate	1	material that makes stats	Not important	Important	favor	no opinion	no opinion	Something else	Education	I don't know	Regular Lecures	STAT 10
16780	11:18 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	14	13	72	20	less than 1	7	0	1	1	90	0	0	Liberal	1	compilation of info	Not important	One of the most important things, but not the most important.	strongly favor	favor	oppose	Education	Personal Experience	I don't know	Regular Lecures	STAT 10
16781	11:24 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	19.5	61.5	19	6	7	1	0	0.5	0	0	0	Moderate	0	set of information	Not important	Very important	no opinion	favor	favor	Education	Education	Education	Regular Lecures	STAT 10
16782	11:26 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	14	14	59	20	5	6	0	2	0	20	0	0	Moderate	1	A buch of information	Not important	Not important	no opinion	strongly oppose	no opinion	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16784	11:33 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17	17	62	22	7	8	0	1	0	90	0	0	Liberal	1	collection of information	Somewhat important	Very important	oppose	strongly favor	favor	Education	Education	Education	Regular Lecures	STAT 10
16785	11:35 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Left	25	24.5	75	22	1	2	0	0	0	0	0	0	Very Liberal	1	Like a party with numbers	One of the most important things, but not the most important.	One of the most important things, but not the most important.	oppose	strongly favor	favor	Something else	Education	Personal Experience	Regular Lecures	STAT 10
16786	12:05 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	15	13.5	64.8	19	3	6	1	1	0	99	0	0	Liberal	1	factual information	Not important	Important	oppose	favor	strongly favor	Religious Beliefs	Personal Experience	Media	Regular Lecures	STAT 10
16787	12:19 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22	21	75	19	0	7	1	0	0	99	0	0	Very Liberal	1	qualifications	Somewhat important	One of the most important things, but not the most important.	favor	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16789	12:32 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	25.4	25.5	69	19	10	8	1	0	1	99	0	0	Moderate	1	results of a experiment	Important	Very important	favor	oppose	favor	No opinion	Religious Beliefs	Education	Regular Lecures	STAT 10
16790	12:45 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	24.5	24.5	72	20	7	6.5	0	1.67	0	??	0	0	Liberal	1	Can derive info from	Important	Very important	favor	no opinion	no opinion	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16791	12:57 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17.8	18.5	63	19	this month	9	0	1	3	1,	0	none. don't have one	Liberal	1	statistic	Important	Important	strongly favor	strongly favor	strongly favor	Media	Friends and family	Friends and family	Regular Lecures	STAT 10
16793	01:17 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17.7	17.7	64	21	6	6	0	1	0	99	0	0	Moderate	1	Results	Not important	Somewhat important	favor	favor	favor	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16794	01:28 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	12	12	70	19	9	9	1	2	0	99	0	0	Moderate	1	A set of numbers.	Don't know for sure	One of the most important things, but not the most important.	favor	favor	favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16796	01:30 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	18	18	65	20	3	7	0	0	0	20	0	0	Liberal	0	quantitative observations	Don't know for sure	Very important	no opinion	favor	favor	No opinion	I don't know	I don't know	Regular Lecures	STAT 10
16804	02:21 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	20.5	20.7	62	18	11	7.5	0	0	0	90	0	0	Conservative	1	a set of measurable info	Not important	Not important	favor	oppose	oppose	Friends and family	Religious Beliefs	Friends and family	Regular Lecures	STAT 10
16806	02:39 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	15	15	67	19	3	6	1	0	0	0	0	0	Moderate	1	dataaaaaa	Very important	One of the most important things, but not the most important.	oppose	favor	no opinion	I don't know	No opinion	No opinion	Regular Lecures	STAT 10
16807	02:40 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20.3	20.3	62	18	8	8	1	3	0	10	0	0	Moderate	1	numbers	Not important	One of the most important things, but not the most important.	no opinion	strongly favor	strongly favor	Religious Beliefs	Religious Beliefs	Something else	Regular Lecures	STAT 10
16808	02:40 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20	18	64.5	19	7	6	0	0	0	0	0	0	Very Conservative	1	information	Very important	Very important	favor	favor	favor	Religious Beliefs	Education	Education	Regular Lecures	STAT 10
16809	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	19	20	70	21	13 days ago	5	0	0	0	99	1	6	Moderate	0	info	Not important	Very important	no opinion	strongly favor	strongly favor	Something else	Friends and family	Friends and family	Regular Lecures	STAT 10
16810	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	20	20	74	21	5	7	0	2	0	99	0	0	Moderate	1	collection of stats	Somewhat important	Important	favor	favor	oppose	Something else	Personal Experience	Media	Regular Lecures	STAT 10
16811	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	17	18	67	20	7	7.5	0	3	0	30	0	0	Liberal	1	points of information	Very important	Somewhat important	oppose	strongly favor	strongly favor	Media	Friends and family	Education	Regular Lecures	STAT 10
16812	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	18	18.2	67	18	5	6.5	1	0	0	68	0	0	Conservative	1	collected information	Not important	Somewhat important	favor	no opinion	no opinion	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16813	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	8	8	65	19	1	6	1	0	0	32	0	0	Moderate	1	studied information	Not important	Important	favor	favor	favor	Education	Something else	Something else	Regular Lecures	STAT 10
16814	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	18	18	67	20	10	8	0	2	0	99	0	0	Liberal	1	a collection of info	Somewhat important	Important	favor	strongly favor	strongly favor	Education	Personal Experience	Friends and family	Regular Lecures	STAT 10
16815	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	21	21	64.5	20	0	8	0	0	0	99	0	0	Conservative	1	piece of information	Not important	Somewhat important	no opinion	oppose	favor	No opinion	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16816	02:41 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	17.7	17.7	66	20	1	10	0	0	0	99	0	0	Conservative	0	a sample of numbers	Not important	Very important	favor	oppose	no opinion	I don't know	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16817	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	20	20	71	19	11	7	1	0	2	70	0	0	Liberal	0	it is a collection	Somewhat important	Very important	no opinion	no opinion	no opinion	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16818	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	18	18	62	19	9	3	1	0	0	70	7	0	Liberal	1	collected information	Not important	Very important	favor	strongly favor	favor	Personal Experience	Personal Experience	Something else	Regular Lecures	STAT 10
16819	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	17	17	69	19	5	6	1	0	2	99	0	0	Liberal	1	information	Not important	Important	favor	favor	strongly favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16820	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	7	7	5.2	21	5	7	0	1	0	50	0	0	Liberal	1	Information	Not important	Important	favor	favor	favor	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16821	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	17	17	55	18	11	6	1	0	0	50	none	none	Moderate	0	a series of number	Important	Very important	oppose	favor	oppose	Religious Beliefs	Something else	Religious Beliefs	Regular Lecures	STAT 10
16822	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	17.8	19.1	64	20	11	8	0	1	0	80	0	2	Liberal	1	collection of variables	Not important	Important	oppose	strongly favor	favor	Education	Friends and family	Education	Regular Lecures	STAT 10
16823	02:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	18	18	65	18	8	7	1	0	0	99	0	0	Conservative	1	numbers	Not important	Very important	favor	oppose	oppose	Education	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16824	02:43 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	22	22	70	20	8.5	11.5	1	1	0	9+	0	0	Moderate	1	collected information	Somewhat important	Somewhat important	no opinion	strongly favor	strongly favor	I don't know	Education	Education	Regular Lecures	STAT 10
16825	02:43 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	12.6	12.6	72	26	9	6	0	2	3	0	0	0	Moderate	1	Answers to questions	Not important	Somewhat important	strongly favor	no opinion	no opinion	Education	Media	No opinion	Regular Lecures	STAT 10
16826	02:43 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20	20	5.4	23	2	7	0	0	0	99	0	0	Moderate	1	information	Not important	Somewhat important	no opinion	oppose	oppose	Media	Media	Media	Regular Lecures	STAT 10
16827	02:43 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	19	19	65	20	5	8	0	0	0	99	0	0	Moderate	1	collected information	Not important	Important	no opinion	strongly favor	strongly favor	I don't know	Friends and family	Friends and family	Regular Lecures	STAT 10
16828	02:44 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	21	21	72	20	3	8	1	0	0	52	0	0	Moderate	1	Collected information	Don't know for sure	Somewhat important	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16829	02:44 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	18	18	65	19	6	8	1	0	2	99	0	0	Liberal	1	specific information	Not important	Somewhat important	oppose	strongly favor	strongly favor	Education	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16830	02:44 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Left	19	19.5	69	22	5	9	0	1	0	1k	0	0	Moderate	1	information	Somewhat important	Very important	strongly oppose	no opinion	strongly favor	Something else	Religious Beliefs	Something else	Regular Lecures	STAT 10
16831	02:50 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21	20	68	21	5	8	0	2	0	69	0	0	Conservative	1	raw information	Not important	Important	oppose	strongly oppose	strongly oppose	I don't know	Something else	Something else	Regular Lecures	STAT 10
16832	02:56 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	13	14	64	21	1	6	0	0	0	99	0	0	Liberal	1	information	Not important	Somewhat important	favor	strongly favor	strongly favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16833	03:03 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	24	25	72	23	276	8	0	2	0	1+	0	0	Very Liberal	0	collection of information	Somewhat important	Important	strongly oppose	strongly favor	strongly favor	Education	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16834	03:10 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	12.7	12.7	61.2	22	6	7	0	1	0	99	2	0	Conservative	1	results	Not important	Important	no opinion	favor	no opinion	Education	Friends and family	I don't know	Regular Lecures	STAT 10
16835	03:32 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	14	14	66	19	0.5	8	1	1	0	99	1	0	Liberal	1	polled information	Not important	Not important	no opinion	strongly favor	strongly favor	No opinion	Something else	Something else	Regular Lecures	STAT 10
16836	03:33 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	23	22	71	18	11	7	0	0	5	99	0	0	Conservative	1	points of information	Not important	Somewhat important	oppose	oppose	no opinion	Religious Beliefs	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16837	03:45 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Left	10	10	72	19	4	7	1	1	0	18	0	0	Conservative	1	stuff	Not important	Somewhat important	favor	oppose	oppose	Something else	Something else	Something else	Regular Lecures	STAT 10
16838	03:45 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	11	11	62	20	2 weeks ago	7	0	0	0	77	0	0	Liberal	0	set of numbers	Not important	Very important	favor	strongly favor	strongly favor	No opinion	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16839	03:46 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	15	15	68	18	11	9	1	2	0	99	0	0	Moderate	1	A collection of info.	Not important	Very important	favor	strongly favor	strongly favor	Something else	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16840	03:46 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	12	12	65	19	5	7	1	0	1	60	0	0	Conservative	1	information	Not important	Somewhat important	no opinion	favor	favor	No opinion	Friends and family	Friends and family	Regular Lecures	STAT 10
16841	03:46 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	10	10	62	18	11	6.5	1	1	0	99	0	0	Moderate	1	information	Not important	Not important	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16842	03:47 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	30	30	61	19	3	5	1	2	0	50	0	0	Liberal	1	information	Somewhat important	Very important	oppose	favor	favor	Religious Beliefs	Education	Media	Regular Lecures	STAT 10
16843	03:47 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20.3	20.3	64	19	0	8	1	0	0	99	0	0	Very Liberal	0	Information	Somewhat important	One of the most important things, but not the most important.	oppose	strongly favor	strongly favor	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16844	03:47 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	5	5	64	18	10	7	0	0	0	99	0	0	Liberal	0	collected statistics	Not important	One of the most important things, but not the most important.	favor	favor	favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16845	03:47 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	15	15	62	20	1	6	0	3	0	26	0	0	Very Liberal	1	a set of information	Not important	Very important	oppose	strongly favor	strongly favor	I don't know	Personal Experience	Media	Regular Lecures	STAT 10
16846	03:47 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	9	9	70	20	7	8	0	0	0	10	0	0	Very Liberal	1	information	Important	Somewhat important	strongly oppose	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16847	03:47 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20	20	62	19	6	6	1	0	0	40	0	0	Moderate	1	information	Not important	Not important	strongly oppose	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16848	03:48 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	21	20	70.9	19	8	6	1	0	0	90	0	0	Moderate	0	information collected	Somewhat important	Very important	favor	favor	no opinion	Media	Education	Media	Regular Lecures	STAT 10
16849	03:48 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Left	20	20	67	19	4	6	1	2	0	99	0	0	Moderate	1	information	Somewhat important	Important	oppose	strongly oppose	no opinion	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16850	03:48 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	10	10	64	19	8	9	1	1	0	99	0	0	Liberal	1	short	Don't know for sure	Don't know for sure	strongly oppose	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16851	03:49 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	7	8	60	24	4	4	0	2	0	90	0	1	Moderate	0	numerical information	Not important	Important	strongly oppose	strongly favor	favor	Education	Education	Friends and family	Regular Lecures	STAT 10
16854	04:16 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19	19	70	18	6	7	1	0	1	20	0	0	Moderate	1	information	Not important	Very important	no opinion	strongly favor	strongly favor	No opinion	Something else	I don't know	Regular Lecures	STAT 10
16856	04:26 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19	19	70	18	6	7	1	0	1	20	0	0	Moderate	1	information	Not important	Very important	no opinion	strongly favor	strongly favor	No opinion	Something else	I don't know	Regular Lecures	STAT 10
16857	04:39 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Left	20.5	20.5	62	19	0	6	1	2	0	48	0	0	Liberal	1	a group of facts	Somewhat important	Very important	no opinion	strongly favor	strongly favor	I don't know	Friends and family	Something else	Regular Lecures	STAT 10
16858	04:53 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	15.2	15.2	61	19	10	5	0	1	2	53	0	0	Moderate	1	information	Not important	Very important	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16859	05:09 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	119	108	67	19	0	6	1	0	0	0	0	0	Moderate	0	Information	Very important	Not important	strongly oppose	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16860	05:09 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	119	108	67	19	0	6	1	0	0	0	0	0	Moderate	0	Information	Very important	Not important	strongly oppose	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16861	05:10 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20.3	20.3	67	19	6	6.5	1	2	0.5	99	0	0	Liberal	1	numbers	Somewhat important	Very important	no opinion	strongly favor	strongly favor	Media	Media	Media	Regular Lecures	STAT 10
16862	05:15 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	18	18.5	65	19	6	9	1	3	0	99	0	0	Liberal	1	factual information	Not important	Important	oppose	favor	strongly favor	Religious Beliefs	Something else	Something else	Regular Lecures	STAT 10
16863	05:17 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	30	30	66.5	20	5	8	0	2	0	99	0	0	Liberal	0	experimental information	Somewhat important	Important	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16864	05:20 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	18	19	72	18	10	8	0	4	2	0	0	0	Liberal	1	numbers with meaning	Don't know for sure	Important	no opinion	favor	favor	No opinion	Friends and family	Friends and family	Regular Lecures	STAT 10
16866	05:42 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	21	20.5	67	19	1	7	1	3	0	37	0	0	Conservative	1	collection of information	Not important	Important	favor	favor	favor	Something else	Something else	I don't know	Regular Lecures	STAT 10
16869	06:45 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	20.5	20.5	63	19	2	6.5	1	0	0	99	0	0	Moderate	1	facts and statistics	Not important	Very important	no opinion	oppose	favor	No opinion	Religious Beliefs	Friends and family	Regular Lecures	STAT 10
16870	06:58 PM on 09/22/2011	Introduction to Statistical Reasoning		Female	Right	19	18.5	5.6	21	6	8	0	4	4	99	0	0	Moderate	1	statistical information	Not important	Somewhat important	oppose	strongly favor	strongly favor	Something else	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16871	07:00 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	20	20.5	66	21	12	6	0	0	0	0	0	0	Moderate	1	experimental information	Not important	Somewhat important	favor	strongly favor	strongly favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16872	07:03 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	18	18.5	68	20	2	8	0	1	0	60	0	0	Conservative	1	statistics	Not important	Important	favor	no opinion	oppose	Religious Beliefs	No opinion	Friends and family	Regular Lecures	STAT 10
16873	07:32 PM on 09/22/2011	Introduction to Statistical Reasoning		Male	Right	21.5	21	71	21	2	11	0	0	0	1	0	0	Moderate	0	more than one datum	Important	One of the most important things, but not the most important.	no opinion	strongly oppose	no opinion	No opinion	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16874	07:45 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	18	18	67	18	10	7	1	0	1	11	0	0	Moderate	1	Facts used for analysis	Somewhat important	Important	oppose	strongly favor	strongly favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16876	07:49 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	10	10.5	60	19	9	6	0	4	0	99	0	0	Moderate	1	information	Somewhat important	Very important	oppose	favor	favor	Religious Beliefs	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16877	07:50 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Right	7.5	8	62	19	10	7	0	0	0	90	1	15	Liberal	1	quali/quanti information	Not important	Very important	strongly oppose	strongly favor	strongly favor	Something else	Education	Something else	Regular Lecures	STAT 10
16878	07:58 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Female	Left	25	25	62	20	9	5.5	0	1	0	10	0	0	Liberal	0	gathered information	Not important	One of the most important things, but not the most important.	favor	no opinion	no opinion	Religious Beliefs	Media	No opinion	Regular Lecures	STAT 10
16879	08:01 PM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22	22	69	1989	5	6	0	1	0	20	0	0	Moderate	1	lots of numbers	Not important	Important	oppose	favor	favor	Friends and family	Media	I don't know	Regular Lecures	STAT 10
16880	08:02 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	17	17	171	20	5	6	0	0	0	99	0	0	Liberal	0	recorded observation	Not important	Somewhat important	favor	strongly favor	strongly favor	Something else	Education	Education	Regular Lecures	STAT 10
16881	08:03 PM on 09/22/2011	Introduction to Statistical Reasoning	Laura Mustavich	Female	Right	20.1	20.6	67	19	4	8	1	0	0	70	0	0	Liberal	0	facts/pieces of info	Not important	Important	oppose	strongly favor	strongly favor	Education	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16882	08:23 PM on 09/22/2011	Introduction to Statistical Reasoning	Robert Gold	Male	Right	8	8	5.1	18	11	5	1	1	1	10	0	0	Liberal	1	information	Somewhat important	Important	favor	no opinion	favor	Media	Media	Media	Regular Lecures	STAT 10
16883	08:51 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17	17	62	19	8	7	1	0	0	80	0	0	Moderate	1	information	Somewhat important	Very important	favor	strongly favor	strongly favor	Something else	Friends and family	Friends and family	Regular Lecures	STAT 10
